type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
CASH_OUT,118451.26,C476107359,0,0,C562453341,284143.52,402594.79,0
PAYMENT,20040.4,C1703128792,43317.58,23277.19,M378031407,0,0,0
CASH_IN,287872.41,C1509581140,734205.75,1022078.15,C1207073580,791162.44,503290.04,0
CASH_OUT,318901.69,C1419809197,72277.33,0,C1712570603,958714.78,1277616.47,0
CASH_IN,134290.28,C1137924940,1412182.83,1546473.1,C706953246,1002701.54,868411.27,0
CASH_OUT,28854.59,C1949250648,72564,43709.41,C79154974,0,28854.59,0
CASH_IN,39428.93,C1536180131,2970,42398.93,C23329672,0,0,0
PAYMENT,8863.02,C752699235,187018.16,178155.14,M1366609311,0,0,0
CASH_IN,20096.52,C71664661,3158071.53,3178168.05,C402290014,535201.21,515104.7,0
PAYMENT,6836.78,C1649046418,104,0,M1030833214,0,0,0
CASH_OUT,10544.79,C1437935496,0,0,C910110761,5675042.54,5685587.33,0
CASH_OUT,197463.04,C547163604,0,0,C1724379143,2349469.03,2146375,0
CASH_IN,363309.01,C1025316674,62208,425517.01,C1493263536,9456306.73,9092997.71,0
CASH_OUT,86308.11,C1352258058,0,0,C1741663778,303651.21,389959.32,0
PAYMENT,17525.6,C1440136933,104042,86516.4,M1570238796,0,0,0
CASH_OUT,338827.08,C1170976078,50405,0,C179837620,41257.9,382024.03,0
CASH_OUT,60198.66,C1000674716,6606.77,0,C744630481,2798052.12,2858250.78,0
CASH_OUT,5384.62,C373689936,0,0,C1301681178,249105.07,254489.69,0
PAYMENT,12219.88,C1696702973,0,0,M1080458013,0,0,0
PAYMENT,6050.88,C1822691236,0,0,M843614253,0,0,0
CASH_OUT,313276.12,C72032307,288,0,C354062318,0,313276.12,0
TRANSFER,211028.35,C420746316,0,0,C284398733,252868.23,463896.58,0
PAYMENT,1228.19,C821070101,0,0,M1808902380,0,0,0
CASH_IN,93709.28,C2087479872,992086.65,1085795.93,C1156646403,399637.55,305928.27,0
CASH_IN,317610.71,C614725485,30950,348560.71,C328308237,990731.25,673120.55,0
TRANSFER,724476.37,C97426283,8828,0,C1665822096,257931.46,982407.83,0
CASH_OUT,63842.23,C2123361043,358762,294919.77,C555582807,1234092.33,1297934.56,0
CASH_OUT,177658.41,C2112402770,50609,0,C1661387202,636950.34,814608.75,0
PAYMENT,21835.97,C2119154151,31853,10017.03,M179292245,0,0,0
CASH_OUT,202361.04,C1822930982,0,0,C1945413301,265927.44,468288.47,0
PAYMENT,24774.19,C1978389027,1552,0,M1179473975,0,0,0
CASH_OUT,275414.06,C450011735,1347759.1,1072345.04,C450257756,1004108.85,1279522.91,0
CASH_OUT,336448.82,C1271806428,206,0,C2047463267,423203.58,759652.4,0
CASH_OUT,289056.04,C1003732815,0,0,C1276073067,3875323.58,4164379.62,0
CASH_OUT,170525.83,C357706384,0,0,C719574233,26554838.81,26725364.64,0
PAYMENT,3867.19,C834872932,41760.79,37893.6,M549584450,0,0,0
PAYMENT,19624,C462841145,55183,35559,M1318036294,0,0,0
CASH_OUT,35833.99,C133590611,0,0,C1590555099,247882.65,283716.64,0
CASH_OUT,309570.07,C2114120243,434891,125320.93,C2020157008,5686931.59,5996501.67,0
CASH_OUT,469857.6,C1263416903,1122,0,C1558796939,1183635.17,1653492.77,0
PAYMENT,13406.23,C1148725584,347069.05,333662.81,M451967670,0,0,0
CASH_OUT,28483.92,C800078445,17589,0,C78244288,108011.39,136495.31,0
CASH_OUT,34503.08,C319349352,0,0,C712396858,2304337.57,2338840.65,0
PAYMENT,6445.86,C330063519,174699.42,168253.56,M1372598848,0,0,0
CASH_OUT,117386.61,C923850065,0,0,C302027884,380228.53,497615.14,0
CASH_OUT,51569.98,C198128834,1680,0,C892015394,198765.89,250335.87,0
CASH_OUT,116761.02,C505259883,110998.84,0,C1907101876,4103978.49,4220739.51,0
CASH_IN,283060.35,C414768094,21340,304400.35,C1424630546,4033380.92,3858455.86,0
CASH_IN,142801.54,C1264109834,8093120.59,8235922.14,C682230892,2086479.52,1943677.97,0
CASH_OUT,248215.67,C789832608,0,0,C933597705,9589210.96,9871863.43,0
TRANSFER,388097.96,C549732500,0,0,C123584876,1591216.81,1979314.77,0
CASH_OUT,110126.65,C657789277,0,0,C1853690531,1740778.94,1850905.6,0
TRANSFER,427475.16,C1843756809,105466,0,C952464195,0,427475.16,0
CASH_OUT,371968.44,C1926119019,51866,0,C920103966,0,322770.27,0
CASH_IN,327954.27,C961245857,17987,345941.27,C1619554902,545301.89,217347.62,0
CASH_OUT,435180.23,C1532530275,12734,0,C1009521500,18899.4,454079.63,0
PAYMENT,8933.3,C2094164838,0,0,M798654734,0,0,0
CASH_OUT,130698.25,C468606357,494,0,C1382895402,3729.26,134427.51,0
CASH_OUT,21827.75,C746935832,234,0,C1501485928,0,51434.23,0
PAYMENT,1148.52,C2126526202,404994.34,403845.82,M740869626,0,0,0
CASH_IN,410622.01,C1901207971,6517,417139.01,C512366697,0,0,0
PAYMENT,3206.33,C998539876,68243.82,65037.5,M1835373764,0,0,0
PAYMENT,1930.37,C2049152803,0,0,M174936132,0,0,0
PAYMENT,78.73,C1940903505,305376,305297.27,M1806469314,0,0,0
CASH_IN,85395.03,C814326825,20808,106203.03,C1877447435,209097.22,123702.19,0
CASH_OUT,578341.7,C891492292,82092,0,C170588218,112179.17,690520.87,0
CASH_OUT,670464.15,C499413451,50310,0,C1558679406,305657.69,976121.84,0
CASH_IN,78379.65,C610889754,23579673.7,23658053.35,C416609845,2418517.1,2340137.45,0
CASH_IN,138660.88,C955754198,5717992.1,5856652.98,C1902121954,1172554.5,1033893.62,0
CASH_IN,361942.17,C1400465516,7614704.59,7976646.76,C1231216271,7392111.14,7030168.97,0
CASH_OUT,226199.29,C1287484781,30443,0,C116499352,3800123.09,4397303,0
CASH_OUT,147533.27,C1481517051,0,0,C1339989936,164630.42,312163.69,0
CASH_OUT,231603.16,C416422951,16993,0,C617104840,2539522.16,2771125.32,0
CASH_OUT,308765.15,C347311536,53866,0,C2102315492,0,308765.15,0
CASH_OUT,97002.2,C662452728,0,0,C1125485769,196909.12,293911.32,0
CASH_IN,192951.6,C869754677,30611,223562.6,C1524766682,5090282.23,4897330.63,0
CASH_OUT,57363.06,C964367087,11406,0,C1702357112,6942203.7,6999566.75,0
PAYMENT,1429.62,C1965481910,65721,64291.38,M1593602432,0,0,0
CASH_OUT,116190.83,C136499504,0,0,C1645111878,1544388.4,1660579.23,0
CASH_OUT,103964.77,C866278026,0,0,C1725520035,770621.55,874586.32,0
CASH_IN,117976.24,C1224289038,28287,146263.24,C935394263,0,0,0
CASH_OUT,25983.49,C18997165,520934.17,494950.67,C1243647970,448119.35,474102.85,0
CASH_OUT,12452.33,C855948853,49553,37100.67,C1366252507,507926.17,520378.5,0
PAYMENT,23292.26,C1335230155,24771,1478.74,M1004391306,0,0,0
CASH_IN,28458.48,C840393028,23338780.94,23367239.42,C1959201320,8223377.98,8194919.5,0
PAYMENT,3927.28,C1069436341,0,0,M348836383,0,0,0
CASH_IN,295242.06,C269907755,295,295537.06,C1777247877,706591.25,411349.19,0
PAYMENT,12175.99,C295892114,0,0,M114610831,0,0,0
CASH_IN,162881.98,C937848469,2963852.84,3126734.83,C694957501,167579.39,4697.4,0
CASH_IN,262225.92,C886915948,184216.19,446442.11,C1546015775,798622.11,536396.18,0
CASH_OUT,477066.38,C442086494,0,0,C1245190159,1125827.78,1602894.16,0
CASH_IN,175838.22,C1456761801,3518982.36,3694820.58,C795670133,4928559.63,4752721.41,0
CASH_IN,189866.79,C1844676270,15793,205659.79,C518787808,658472.24,468605.45,0
PAYMENT,11936.97,C1679161075,49806,37869.03,M23855626,0,0,0
CASH_OUT,218309,C1683870265,19062,0,C942985871,38905.76,257214.76,0
PAYMENT,1272.36,C1319928443,30647,29374.64,M227918834,0,0,0
PAYMENT,15673.54,C715983685,0,0,M2117716872,0,0,0
TRANSFER,235496.87,C1228825293,100741,0,C1694023176,5312.71,240809.58,0
CASH_OUT,207292.46,C546160658,0,0,C593287883,1806765.41,2014057.87,0
DEBIT,10881.68,C2029634917,41533,30651.32,C582760687,37325.79,48207.47,0
CASH_IN,187471.75,C140486534,4225306.49,4412778.24,C1636585,1389272.94,1201801.19,0
CASH_IN,370887.55,C1111268042,5414509.14,5785396.69,C530072898,12275563.09,11904675.55,0
CASH_OUT,295862.94,C1997072581,10279,0,C199377847,819361.13,1115224.07,0
PAYMENT,26510.73,C857086998,719734,693223.27,M106330563,0,0,0
CASH_OUT,267849.18,C1961540800,0,0,C1872163873,677351.78,945200.96,0
CASH_OUT,50821.38,C337362232,9985,0,C1468440578,240377.86,291199.24,0
TRANSFER,328352.43,C2089580361,99390,0,C893718685,0,328352.43,0
PAYMENT,10572.69,C1708246769,4046,0,M1464569438,0,0,0
PAYMENT,9719.75,C156389672,21676.37,11956.62,M764939283,0,0,0
CASH_IN,2427.37,C1410520942,114099,116526.37,C2058971288,0,0,0
PAYMENT,12260.88,C1106363760,18823,6562.12,M1260781705,0,0,0
CASH_OUT,195316.23,C1910584137,57639,0,C1394568230,4224943.16,4420259.39,0
TRANSFER,160198.57,C1450521614,0,0,C398870216,449165.37,609363.94,0
PAYMENT,35060.83,C1084855414,428176.9,393116.08,M496449155,0,0,0
PAYMENT,20419.87,C1110732051,0,0,M1642416480,0,0,0
CASH_OUT,24593.2,C151246718,0,0,C743873836,373184.99,397778.2,0
CASH_OUT,368935.42,C1476738729,0,0,C1659825451,4756782.57,5125717.99,0
PAYMENT,836.65,C43038396,26876.94,26040.29,M87452500,0,0,0
CASH_OUT,32016.46,C1983742242,19941,0,C1709184478,0,32016.46,0
PAYMENT,6693.4,C239562238,15924.47,9231.07,M1851456326,0,0,0
TRANSFER,742375.07,C1696879495,328421,0,C768350956,5877313.52,6619688.59,0
CASH_IN,386863.91,C104780307,5525,392388.91,C189530942,549349.24,162485.33,0
CASH_OUT,2142.42,C978245517,23368,21225.58,C747965117,0,2142.42,0
CASH_IN,375234.63,C1900578335,7537571.35,7912805.99,C2086431846,2829952.29,2167719.36,0
PAYMENT,10430.49,C1661731987,0,0,M2017080570,0,0,0
PAYMENT,22957.03,C577007992,0,0,M67071098,0,0,0
PAYMENT,1322.79,C2092144704,47325.66,46002.86,M1546861916,0,0,0
CASH_IN,160560.25,C1909810191,1644081.86,1804642.1,C1434950930,1585309.85,1424749.61,0
DEBIT,1551.51,C1752459648,713,0,C939299536,21045.11,22596.61,0
PAYMENT,30977.89,C86768553,0,0,M1348143115,0,0,0
CASH_OUT,227516.29,C2096069808,16823,0,C1256798160,130575.63,358091.92,0
CASH_OUT,256972.11,C1406286186,6192,0,C459397327,0,256972.11,0
PAYMENT,20085.25,C1468005145,0,0,M794652655,0,0,0
PAYMENT,14701.33,C1323328243,6223.67,0,M1870093205,0,0,0
CASH_IN,17657.27,C1381420193,3022257.69,3039914.96,C463765850,287609.89,269952.62,0
CASH_OUT,321674.95,C297603710,0,0,C1746774298,351585.17,668325.72,0
CASH_OUT,232206.93,C193466812,0,0,C546812342,378592.88,610799.81,0
CASH_OUT,265665.82,C1533629323,0,0,C873287880,5387647.17,5653312.99,0
PAYMENT,18586.64,C105143602,16187,0,M1210163998,0,0,0
CASH_IN,148366.94,C612596561,2685040.39,2833407.34,C1015335827,293997.98,145631.04,0
CASH_OUT,431907.07,C1628299761,0,0,C918205909,1166961.93,1598869,0
PAYMENT,5674.53,C1979214687,279213.27,273538.74,M520044565,0,0,0
CASH_OUT,278336.28,C1079957141,0,0,C555283824,887517.72,1165853.99,0
PAYMENT,28285.45,C2067885430,43547,15261.55,M289666283,0,0,0
CASH_IN,72891.5,C212560827,310433,383324.5,C1005571324,0,0,0
TRANSFER,1071182.48,C1764896094,0,0,C1756714297,10683512.23,11754694.7,0
CASH_IN,101293.66,C1909547994,80257,181550.66,C753392735,2029596.54,1928302.88,0
CASH_OUT,56491.46,C1846961275,60082,3590.54,C518387118,0,56491.46,0
PAYMENT,13677.61,C2066252387,10760,0,M1239734621,0,0,0
TRANSFER,891541.1,C1171655824,99833,0,C104901112,565396.77,1456937.88,0
PAYMENT,13718.54,C951456261,143204.15,129485.61,M1612947993,0,0,0
CASH_OUT,6526.95,C135501136,0,0,C300969384,25810.95,32337.9,0
CASH_OUT,78604.41,C1263073363,11910,0,C222424477,741675.33,820279.73,0
PAYMENT,15319.97,C1579541367,11972,0,M648098611,0,0,0
TRANSFER,198718.72,C1635696376,0,0,C562960405,330422.3,529141.02,0
CASH_OUT,438778.93,C723499068,531,0,C440708502,7199533.57,7638312.5,0
CASH_OUT,187142.69,C2127802055,0,0,C977931451,253808.8,440951.49,0
PAYMENT,4562.29,C11274778,16016.59,11454.29,M9732948,0,0,0
CASH_IN,221657.44,C1680003720,2872950.6,3094608.04,C1930999009,1671988.18,1450330.74,0
CASH_OUT,103543.66,C954168864,0,0,C1606653250,177239.89,280783.55,0
CASH_OUT,285570.28,C1192209664,0,0,C1645200623,385369.08,670939.36,0
CASH_IN,218172.98,C773739206,10507320.87,10725493.84,C13529531,4082297.28,3864124.31,0
CASH_OUT,9470.22,C576585404,0,0,C576146406,104201.6,113671.82,0
CASH_OUT,263964.33,C1465647880,30606,0,C1779169627,707056.09,971020.42,0
CASH_OUT,90304.49,C1908410915,0,0,C1561532498,254788.46,345092.95,0
CASH_IN,210978.59,C1153182357,12956906.52,13167885.11,C1179243032,3694107.76,3483129.17,0
PAYMENT,17570.95,C133983076,0,0,M1327478244,0,0,0
PAYMENT,26607.63,C1789825415,0,0,M1359869648,0,0,0
PAYMENT,59694.1,C845214649,0,0,M192377007,0,0,0
PAYMENT,7750.74,C1471872187,19395,11644.26,M2074126502,0,0,0
PAYMENT,17748.86,C1416212084,0,0,M859025936,0,0,0
TRANSFER,263271.96,C1400898324,20308,0,C575828514,370570.82,633842.79,0
PAYMENT,3943.92,C119727156,117928.18,113984.27,M2084249903,0,0,0
CASH_OUT,6725.26,C1186360513,75462,68736.74,C1562009813,919906.77,926632.03,0
CASH_IN,20997.47,C801925975,2011647.2,2032644.67,C2037821533,6553075.65,6532078.18,0
CASH_OUT,174015.86,C284354823,47093,0,C917084885,0,174015.86,0
CASH_OUT,284589.84,C268100327,26087,0,C320484198,7216.96,291806.8,0
PAYMENT,10234.34,C1116856815,0,0,M844897198,0,0,0
PAYMENT,20690.24,C1223415172,21122,431.76,M190293417,0,0,0
CASH_IN,84140.14,C751036648,9861346.92,9945487.07,C1197061790,159841.01,75700.86,0
TRANSFER,123804.84,C1245395134,0,0,C92094141,1121192.99,1244997.83,0
PAYMENT,6715.63,C145066971,38169,31453.37,M1704046063,0,0,0
CASH_OUT,165829.21,C1719950743,0,0,C786903522,1165179.12,1331008.32,0
PAYMENT,11961.37,C1595342432,32311,20349.63,M740460784,0,0,0
PAYMENT,76217.96,C1273308206,0,0,M696079400,0,0,0
CASH_IN,344186,C673052480,4380,348566,C719211996,20403.85,0,0
CASH_OUT,345432.71,C1011532746,20471,0,C971257139,74979.23,420411.94,0
CASH_OUT,83870.16,C2014577952,0,0,C157999676,365236.25,449106.41,0
PAYMENT,7438.58,C2091448104,115486,108047.42,M218193063,0,0,0
PAYMENT,21638.8,C1808316919,46397,24758.2,M1861174102,0,0,0
CASH_OUT,75473.52,C1777788125,0,0,C638830660,1624157.01,1699630.53,0
TRANSFER,1198085.5,C582331182,0,0,C108477305,1680575.86,2878661.36,0
CASH_OUT,688797.98,C1357908549,312131,0,C2082048978,0,688797.98,0
PAYMENT,5991.08,C1377234303,333810.22,327819.15,M874339779,0,0,0
PAYMENT,24319.92,C1782817681,101343,77023.08,M70805900,0,0,0
CASH_IN,622710.03,C1726817650,13512674.42,14135384.45,C19562750,1478043.35,855333.32,0
CASH_OUT,10101.12,C1715757685,10829,727.88,C59528873,4972240.38,4982341.5,0
CASH_OUT,60987.03,C1905646787,19975,0,C2052104129,8641353.03,8702340.07,0
CASH_OUT,263044.7,C1707597260,0,0,C2016282213,4422300.85,4685345.56,0
PAYMENT,2939.09,C1572420273,381,0,M1358597786,0,0,0
CASH_OUT,115431.86,C254269738,0,0,C222176144,139145.38,254577.24,0
CASH_IN,563998.72,C2058456524,161444,725442.72,C1839158921,0,0,0
CASH_OUT,328244.3,C1313332807,0,0,C745612987,674550.84,1002795.15,0
CASH_OUT,8370.92,C1143835603,0,0,C2001653744,265735.41,274106.32,0
CASH_IN,345616.49,C523711808,7511302.47,7856918.97,C2078317299,376177.38,30560.89,0
CASH_OUT,199831.42,C2065467393,0,0,C1711708500,1514731.96,1714563.37,0
CASH_OUT,286183.22,C1614606242,11017,0,C381012558,24458.03,310641.25,0
CASH_OUT,117229.97,C629180710,0,0,C2033781204,166279.01,283508.99,0
PAYMENT,4542.47,C218610163,0,0,M1171627092,0,0,0
CASH_OUT,134.54,C332509183,0,0,C2076568026,1088655.14,1088789.69,0
CASH_OUT,8079.42,C1088260566,0,0,C1703636994,5655012.64,5663092.06,0
PAYMENT,2701.96,C1179211107,0,0,M586424998,0,0,0
CASH_IN,87414.98,C768065592,2056093.2,2143508.18,C276629171,206148.16,118733.18,0
PAYMENT,6483.64,C1124353642,11604,5120.36,M509005863,0,0,0
PAYMENT,2587.83,C978757896,72031,69443.17,M1591342427,0,0,0
PAYMENT,15521.17,C675193344,0,0,M286714547,0,0,0
CASH_OUT,320226.39,C1267572526,23180,0,C2108951169,613603.56,933829.94,0
CASH_IN,54506.19,C564187005,6971358.97,7025865.16,C1954211493,2840026.63,2785520.45,0
CASH_IN,393105.76,C1449008724,8433138.47,8826244.22,C1907326470,2260902.48,1867796.72,0
PAYMENT,10086.62,C1045306327,20579,10492.38,M477836003,0,0,0
PAYMENT,32867.13,C903390534,123822,90954.87,M92162523,0,0,0
PAYMENT,24682.37,C1218928454,0,0,M1395256198,0,0,0
CASH_OUT,106252.4,C1844424350,11632.71,0,C1087581297,536526.64,642779.04,0
PAYMENT,17658.01,C1286999428,20759,3100.99,M242802205,0,0,0
PAYMENT,17464.61,C175076467,105751,88286.39,M1365527274,0,0,0
TRANSFER,100732.04,C2036850751,0,0,C2113992148,120931.77,221663.81,0
PAYMENT,815.86,C181408454,0,0,M1295750366,0,0,0
PAYMENT,20151.41,C1971430405,71447,51295.59,M2144839423,0,0,0
PAYMENT,29112.92,C1744955574,0,0,M218849315,0,0,0
TRANSFER,655999.18,C1591302303,0,0,C690352112,1148220.71,1804219.89,0
PAYMENT,9411.47,C733820034,7188,0,M683742782,0,0,0
CASH_OUT,153797.22,C275175768,25374,0,C1873806732,39489.06,193286.28,0
PAYMENT,9248.17,C326272297,31997.77,22749.59,M1333954221,0,0,0
CASH_IN,132310.89,C919363327,600627.2,732938.08,C841999130,2129659.16,1997348.27,0
PAYMENT,4201.44,C251758278,0,0,M1511643904,0,0,0
CASH_IN,293477.97,C2103622001,17034,310511.97,C1220091341,873689.48,580211.51,0
CASH_OUT,276787.31,C12932782,16119,0,C886896377,0,276787.31,0
CASH_OUT,310466.4,C1724704341,81904,0,C1910841416,6768753.21,7079219.61,0
PAYMENT,24700.07,C549213497,0,0,M727294180,0,0,0
CASH_OUT,48384.64,C1866800052,883,0,C1868345391,906666.78,955051.43,0
CASH_OUT,246739.01,C1502665103,121170.64,0,C1129160232,730965.15,977704.17,0
CASH_IN,283961.82,C1623568929,122761,406722.82,C1675145167,135887.06,0,0
PAYMENT,52418.36,C587428145,40125,0,M481814151,0,0,0
CASH_OUT,146789.27,C1872397205,10448.74,0,C1854636505,617865.89,764655.16,0
CASH_IN,304219.93,C1650843031,41767,345986.93,C103053728,0,0,0
PAYMENT,13271.35,C1812327547,0,0,M28789187,0,0,0
PAYMENT,8689.31,C1792729030,8536,0,M1460724288,0,0,0
PAYMENT,1936.59,C180863320,0,0,M9273312,0,0,0
PAYMENT,13708.83,C384332019,141251.83,127543,M1545556709,0,0,0
CASH_IN,304167.14,C907969080,1068,305235.14,C1162834167,0,0,0
CASH_OUT,62861.81,C578472634,6093,0,C94296310,1114321.56,1177183.37,0
CASH_OUT,20339.78,C1623958726,19938.57,0,C114943843,4228186.12,4248525.9,0
CASH_IN,94530.34,C1176962228,3564595.64,3659125.98,C860287986,116209.65,21679.31,0
CASH_OUT,234673.51,C608112596,140,0,C431687661,2369440.34,2604113.85,0
PAYMENT,23485.66,C744696295,5340,0,M471154133,0,0,0
CASH_IN,114272.51,C1328257488,113,114385.51,C1591761295,7074567.37,6960294.86,0
PAYMENT,36324.23,C2089361708,20255,0,M1062246676,0,0,0
PAYMENT,19461.81,C124464969,0,0,M1671709432,0,0,0
CASH_OUT,167501.87,C1127002524,318058,150556.13,C2029698698,27626.55,195128.41,0
CASH_IN,144934.11,C1857399030,2851228.58,2996162.69,C99392492,257932.51,112998.4,0
PAYMENT,30697.54,C1054508532,66126.25,35428.71,M133686497,0,0,0
CASH_OUT,184876.88,C997279719,19466,0,C1418759827,346259.67,531136.54,0
CASH_IN,113184.67,C2030013924,4133853.89,4247038.56,C55320072,2137491.48,2024306.81,0
PAYMENT,10280.86,C1961018013,0,0,M2103158946,0,0,0
CASH_OUT,37785.89,C2096422951,0,0,C333432036,40515.56,78301.45,0
PAYMENT,4832.53,C1356222946,32052.93,27220.4,M867145650,0,0,0
PAYMENT,15028.37,C2125558898,0,0,M7761596,0,0,0
PAYMENT,1779.09,C322506627,411660.22,409881.13,M1723058106,0,0,0
CASH_IN,181303.25,C901022279,10850276.82,11031580.07,C1426317832,2919862.39,2738559.14,0
CASH_IN,62505.39,C572990136,17792113.28,17854618.66,C1382250449,107184.09,44678.7,0
CASH_OUT,195249.48,C930079237,30193,0,C776001212,158851.94,354101.42,0
TRANSFER,475718.77,C353858525,0,0,C2006539591,975111.5,1450830.28,0
CASH_OUT,138373.69,C1693034356,0,0,C186352647,359863.12,498236.81,0
CASH_IN,116396.12,C28750003,51592,167988.12,C268257979,136699.68,20303.56,0
CASH_IN,74673.51,C1322348461,2359886.87,2434560.38,C1700926523,13497073.19,13422399.68,0
PAYMENT,1031.84,C2034913196,0,0,M1840839083,0,0,0
PAYMENT,7361.23,C720132244,85482.24,78121,M1377571059,0,0,0
PAYMENT,67.7,C703093506,78121,78053.31,M1489324451,0,0,0
CASH_OUT,173317.49,C973080917,0,0,C1849852695,733505.97,906823.46,0
TRANSFER,78577.08,C1421123242,0,0,C453497137,3953720.25,4032297.33,0
CASH_OUT,31124.15,C1293846661,0,0,C562287359,1136501.33,1167625.47,0
PAYMENT,14234.05,C1587127488,19024,4789.95,M857740996,0,0,0
PAYMENT,8038.59,C41073044,0,0,M525255220,0,0,0
CASH_IN,97092.34,C351743392,16371,113463.34,C425982617,0,0,0
CASH_OUT,127923.4,C703128669,0,0,C25585284,475894.42,603817.82,0
CASH_OUT,208149.24,C222667759,0,0,C378086327,833380.97,1041530.21,0
CASH_OUT,169252.76,C957118764,10293,0,C1240002462,18501.91,328440.39,0
CASH_IN,184648.94,C1319979347,242816.91,427465.86,C1913226442,211589.96,26941.02,0
PAYMENT,3300.17,C1133317556,59816.71,56516.53,M993954570,0,0,0
CASH_OUT,222525.42,C1707089021,0,0,C1930186237,7376271.61,7598797.03,0
CASH_IN,109363.57,C366861354,7897672.92,8007036.48,C437394743,748843.74,474977.1,0
PAYMENT,10805.57,C1664074566,0,0,M998968559,0,0,0
PAYMENT,6732.88,C1067372951,0,0,M1838393849,0,0,0
PAYMENT,28793.99,C617779556,3760,0,M818909484,0,0,0
CASH_IN,197025.39,C2138176414,2455729.76,2652755.15,C700579843,1024331.1,827305.71,0
CASH_IN,34232.4,C935401929,5909375.08,5943607.48,C2139058647,46642.73,12410.33,0
CASH_IN,334629.39,C1203891038,64396,399025.39,C37349963,0,212768.52,0
CASH_IN,68493.36,C493834880,24967,93460.36,C1797466570,339362.71,270869.36,0
CASH_IN,45353.79,C871229485,8771109.68,8816463.47,C1976736745,253727.79,208374,0
CASH_IN,292818.4,C1862735883,346208.29,639026.69,C1301091274,777821.87,485003.47,0
CASH_OUT,69340.19,C297431304,0,0,C1710917135,958356.43,1027696.62,0
PAYMENT,1470.49,C2046019262,54868.82,53398.33,M1732365167,0,0,0
PAYMENT,14418.37,C2064372597,0,0,M777275563,0,0,0
PAYMENT,6806.59,C1310982696,334059,327252.41,M601430014,0,0,0
PAYMENT,16165.35,C483941257,0,0,M266983974,0,0,0
CASH_OUT,206079.98,C915394083,0,0,C939065530,1058909.08,1264989.06,0
PAYMENT,2762.33,C1741021391,90910.97,88148.64,M1669873958,0,0,0
CASH_OUT,574061.76,C1050113286,20534,0,C1519749410,237431.37,811493.13,0
CASH_OUT,105831.89,C1350895126,110106.23,4274.33,C831230473,2806809.11,2912641.01,0
CASH_OUT,186476.15,C464024836,4083,0,C189672957,2189985.63,2376461.79,0
CASH_OUT,158400.76,C929096726,0,0,C1545033483,3156920.72,3315321.48,0
CASH_IN,446162.97,C919157211,60599,506761.97,C1004148647,0,0,0
PAYMENT,2321.28,C1366202317,20212.03,17890.75,M1952908152,0,0,0
PAYMENT,15307.17,C2067934184,839,0,M139289889,0,0,0
TRANSFER,636521.68,C986279646,3043,0,C1212741755,0,636521.68,0
PAYMENT,4421.47,C785557157,178551.18,174129.7,M215547535,0,0,0
CASH_OUT,213999.41,C1770354443,0,0,C1143666386,426534.2,640533.62,0
PAYMENT,2187.34,C568379914,0,0,M1042622495,0,0,0
CASH_IN,188538.69,C690845631,14356,202894.69,C2003460803,869817.05,681278.36,0
CASH_OUT,91697.55,C1912245437,27,0,C700570693,294330.52,683226.56,0
CASH_IN,298982.94,C830424270,3526921.83,3825904.78,C1724902089,1287898.11,988915.17,0
TRANSFER,80550.66,C634207384,0,0,C1040746488,145452.47,226003.13,0
PAYMENT,10734.41,C150809177,974421.59,963687.18,M1316961525,0,0,0
PAYMENT,34478.54,C1491847351,0,0,M107550922,0,0,0
CASH_OUT,167613.66,C2106430663,9006,0,C342866786,1798954.94,1966568.6,0
TRANSFER,731020.76,C635269996,21336,0,C246109387,10638744.89,11369765.65,0
PAYMENT,7631.38,C566934929,0,0,M650461207,0,0,0
PAYMENT,765.67,C1173800659,0,0,M1491732670,0,0,0
CASH_OUT,44701.25,C821966818,0,0,C368087394,710469.85,755171.1,0
TRANSFER,65499.54,C3952611,0,0,C1412657912,1051833.88,1117333.42,0
CASH_OUT,260952.79,C409593857,74174,0,C667535948,3351001.99,3674146.39,0
PAYMENT,1933.97,C537135816,0,0,M122020031,0,0,0
CASH_OUT,58488.27,C431580494,0,0,C1298739356,234039.4,292527.67,0
CASH_OUT,93180.59,C1371246806,36788,0,C177808503,2312295.33,2653242.27,0
TRANSFER,177729.25,C65394562,79957,0,C2092649833,803954.47,981683.71,0
CASH_OUT,99397.49,C979807122,193309.35,93911.86,C1661453412,417011.92,516409.41,0
CASH_OUT,278480.52,C1778062029,8702,0,C2072359036,4883.63,283364.15,0
CASH_OUT,228685.58,C373200907,10373,0,C843359599,268621.26,497306.84,0
CASH_OUT,311349.19,C1567595117,9626,0,C2102581978,0,576190.79,0
CASH_IN,134321.34,C2133670793,10584738.48,10719059.82,C895352907,1162517.56,1028196.22,0
CASH_IN,323144.66,C547958780,24191427.81,24514572.47,C666173530,355381.69,32237.03,0
CASH_IN,119814.9,C527374791,9635447.51,9755262.41,C721111514,5382411.88,5262596.98,0
CASH_OUT,91122.48,C646025889,665406.72,574284.24,C266302850,313049.7,404172.17,0
CASH_OUT,96640.12,C1902621964,0,0,C42158278,4421528.17,4518168.28,0
PAYMENT,4082.6,C1369747341,0,0,M1246532567,0,0,0
CASH_OUT,25847.28,C1588463098,0,0,C511436049,420155.5,446002.78,0
PAYMENT,19010.41,C1502056275,546,0,M520377801,0,0,0
